model,accuracy,report_file,model_file,preprocessor_file,f1_macro,f1_malicious,recall_malicious,fn,fp,version,timestamp
LightGBM_CharNgram_TFIDF_Balanced,0.954464413,c:\Users\LENOVO\source\repos\ATBM-WebApplicationFirewall_30_10\TrainingModels\BinaryClassification\saved_models\AdaptiveWAF\LightGBM_CharNgram_TFIDF_Balanced_report.txt,c:\Users\LENOVO\source\repos\ATBM-WebApplicationFirewall_30_10\TrainingModels\BinaryClassification\saved_models\AdaptiveWAF\lightgbm_waf.pkl,c:\Users\LENOVO\source\repos\ATBM-WebApplicationFirewall_30_10\TrainingModels\BinaryClassification\saved_models\AdaptiveWAF\preprocessor.pkl,,,,,,,
RandomForest,0.912245044,c:\Users\LENOVO\source\repos\ATBM-WebApplicationFirewall_30_10\TrainingModels\BinaryClassification\saved_models\AdaptiveWAF\LightGBM_CharNgram_TFIDF_Balanced_report.txt,c:\Users\LENOVO\source\repos\ATBM-WebApplicationFirewall_30_10\TrainingModels\BinaryClassification\saved_models\AdaptiveWAF\lightgbm_waf.pkl,,,,,,,,
lightgbm_v1,0.9551078623640578,D:\IT\ATBM-WebApplicationFirewall\TrainingModels\BinaryClassification\saved_models\AdaptiveWAF\lightgbm_v1_v1_20251121_173406_report.txt,D:\IT\ATBM-WebApplicationFirewall\TrainingModels\BinaryClassification\saved_models\AdaptiveWAF\lightgbm_v1.pkl,D:\IT\ATBM-WebApplicationFirewall\TrainingModels\BinaryClassification\saved_models\AdaptiveWAF\lightgbm_v1_preprocessor.pkl,0.943768253926579,0.9185166008672578,0.899480289010014,793.0,466.0,1.0,20251121_173406
xgboost_v1,0.9655910144410769,D:\IT\ATBM-WebApplicationFirewall\TrainingModels\BinaryClassification\saved_models\AdaptiveWAF\xgboost_v1_v1_20251127_105309_report.txt,D:\IT\ATBM-WebApplicationFirewall\TrainingModels\BinaryClassification\saved_models\AdaptiveWAF\xgboost_v1.pkl,D:\IT\ATBM-WebApplicationFirewall\TrainingModels\BinaryClassification\saved_models\AdaptiveWAF\xgboost_v1_preprocessor.pkl,0.9563644609044084,0.936299425704667,0.8989732538978324,797.0,168.0,1.0,20251127_105309
