model,accuracy,report_file,model_file
NaiveBayes,0.9579976985040276,D:\IT\ATBM-WebApplicationFirewall\TrainingModels\BinaryClassification\saved_models\XSS\NaiveBayes_report.txt,D:\IT\ATBM-WebApplicationFirewall\TrainingModels\BinaryClassification\saved_models\XSS\NaiveBayes_xss.pkl
SVM,0.9640169956625652,D:\IT\ATBM-WebApplicationFirewall\TrainingModels\BinaryClassification\saved_models\XSS\SVM_report.txt,D:\IT\ATBM-WebApplicationFirewall\TrainingModels\BinaryClassification\saved_models\XSS\SVM_xss.pkl
LogisticRegression,0.9497211649110384,D:\IT\ATBM-WebApplicationFirewall\TrainingModels\BinaryClassification\saved_models\XSS\LogisticRegression_report.txt,D:\IT\ATBM-WebApplicationFirewall\TrainingModels\BinaryClassification\saved_models\XSS\LogisticRegression_xss.pkl
DecisionTree,0.958351774807471,D:\IT\ATBM-WebApplicationFirewall\TrainingModels\BinaryClassification\saved_models\XSS\DecisionTree_report.txt,D:\IT\ATBM-WebApplicationFirewall\TrainingModels\BinaryClassification\saved_models\XSS\DecisionTree_xss.pkl
Bagging,0.9563158360626716,D:\IT\ATBM-WebApplicationFirewall\TrainingModels\BinaryClassification\saved_models\XSS\Bagging_report.txt,D:\IT\ATBM-WebApplicationFirewall\TrainingModels\BinaryClassification\saved_models\XSS\Bagging_xss.pkl
AdaBoost,0.9099318403115872,D:\IT\ATBM-WebApplicationFirewall\TrainingModels\BinaryClassification\saved_models\XSS\AdaBoost_report.txt,D:\IT\ATBM-WebApplicationFirewall\TrainingModels\BinaryClassification\saved_models\XSS\AdaBoost_xss.pkl
RandomForest,0.9564928742143932,D:\IT\ATBM-WebApplicationFirewall\TrainingModels\BinaryClassification\saved_models\XSS\RandomForest_report.txt,C:\Users\LENOVO\source\repos\ATBM-WebApplicationFirewall\TrainingModels\D:\IT\ATBM-WebApplicationFirewall\TrainingModels\BinaryClassification\saved_models\XSS\RandomForest_xss.pkl
Stacking,0.9643268124280783,D:\IT\ATBM-WebApplicationFirewall\TrainingModels\BinaryClassification\saved_models\XSS\Stacking_report.txt,D:\IT\ATBM-WebApplicationFirewall\TrainingModels\BinaryClassification\saved_models\XSS\Stacking_xss.pkl
